R#,ADP,PLAYER,VALUE
160,146.8,Dyson Daniels,$-4.0
161,133.5,Scoot Henderson,$-5.0
162,141.8,Cole Anthony,$-5.0
163,,Daniel Theis,$-5.0
164,144.5,Kelly Oubre Jr.,$-5.0
165,140.3,Andre Drummond,$-5.0
166,139.1,Wendell Carter Jr.,$-5.0
167,144.7,Christian Braun,$-5.0
168,141.0,Gary Trent Jr.,$-6.0
169,,Kevin Huerter,$-6.0
170,99.6,Chris Paul,$-6.0
171,,Peyton Watson,$-6.0
172,144.6,Donovan Clingan,$-6.0
173,132.2,Shaedon Sharpe,$-6.0
174,136.3,Andrew Nembhard,$-6.0
175,126.6,Mitchell Robinson,$-6.0
176,142.0,Andrew Wiggins,$-6.0
177,148.4,Sam Hauser,$-6.0
178,140.3,Russell Westbrook,$-7.0
179,141.2,Keldon Johnson,$-7.0
180,142.6,Marvin Bagley III,$-7.0
181,140.6,Reed Sheppard,$-7.0
182,144.3,Bilal Coulibaly,$-7.0
183,145.0,Kyle Lowry,$-7.0
184,139.3,Jordan Clarkson,$-7.0
185,,Nickeil Alexander-Walker,$-8.0
186,,Cason Wallace,$-8.0
187,,Miles McBride,$-8.0
188,143.2,Caris LeVert,$-8.0
189,,Caleb Martin,$-8.0
190,,Jarred Vanderbilt,$-8.0
191,146.7,Duncan Robinson,$-8.0
192,138.4,Harrison Barnes,$-8.0
193,144.3,Bennedict Mathurin,$-8.0
194,,Luke Kennard,$-8.0
195,141.8,Zaccharie Risacher,$-9.0
196,147.2,Jonathan Isaac,$-9.0
197,,Rob Dillingham,$-10.0
198,131.9,Ayo Dosunmu,$-10.0
199,143.0,Payton Pritchard,$-10.0
200,,Brandon Clarke,$-10.0
