R#,ADP,PLAYER,VALUE
160,139.1,Wendell Carter Jr.,$-4.0
161,,Peyton Watson,$-4.0
162,132.0,Dennis Schröder,$-4.0
163,133.4,Jaime Jaquez Jr.,$-4.0
164,127.1,Marcus Smart,$-4.0
165,144.7,Christian Braun,$-5.0
166,128.3,Deni Avdija,$-5.0
167,142.0,Andrew Wiggins,$-5.0
168,132.2,Shaedon Sharpe,$-5.0
169,147.2,Jonathan Isaac,$-5.0
170,144.3,Max Strus,$-5.0
171,138.4,Harrison Barnes,$-6.0
172,,Kevin Huerter,$-6.0
173,,Cason Wallace,$-6.0
174,144.3,Bilal Coulibaly,$-6.0
175,141.8,Cole Anthony,$-6.0
176,146.8,Dyson Daniels,$-6.0
177,140.6,Reed Sheppard,$-7.0
178,141.2,Keldon Johnson,$-7.0
179,141.8,Zaccharie Risacher,$-7.0
180,,Caleb Martin,$-7.0
181,144.3,Bennedict Mathurin,$-7.0
182,,Jarred Vanderbilt,$-7.0
183,144.6,Kevin Porter Jr.,$-7.0
184,,Miles McBride,$-7.0
185,,Brandon Clarke,$-8.0
186,139.7,Tre Jones,$-8.0
187,146.7,Duncan Robinson,$-8.0
188,,Karlo Matkovic,$-8.0
189,,Luke Kennard,$-8.0
190,,Isaiah Jackson,$-9.0
191,,Nickeil Alexander-Walker,$-9.0
192,146.3,Moritz Wagner,$-9.0
193,142.6,T.J. McConnell,$-9.0
194,151.8,Malik Beasley,$-10.0
195,,Josh Green,$-10.0
196,,Eric Gordon,$-10.0
197,145.1,De'Andre Hunter,$-10.0
198,131.9,Ayo Dosunmu,$-11.0
199,,Josh Richardson,$-11.0
200,,Luke Kornet,$-11.0
